EXP_ID,Torque,RPM,Power,Frecuencia,Caudal
175_50_HZ,-0.03595922514796257,1430,5.38486683797986,50,11.233513698983113
176_50_HZ,-0.05766487494111061,1428,8.623194353284141,50,11.247143743106884
177_50_HZ,-0.05766487494111061,1433,8.65338761082365,50,11.213001361345103
178_50_HZ,-0.048704639077186584,1433,7.30878430514182,50,11.213001361345103
179_50_HZ,-0.048704639077186584,1433,7.30878430514182,50,11.213001361345103
180_50_HZ,-0.03927125781774521,1432,5.88906636819042,50,11.219847776751422
181_50_HZ,-0.03927125781774521,1434,5.89729132121862,50,11.206145976411804
182_50_HZ,-0.03998097777366638,1430,5.98712168170129,50,11.233513698983113
183_50_HZ,-0.03998097777366638,1427,5.97456128656486,50,11.253945310878295
184_50_HZ,-0.046398043632507324,1425,6.92377846546415,50,11.267521537840178
185_50_HZ,-0.046398043632507324,1430,6.9480724249921,50,11.233513698983113
186_50_HZ,-0.07283516973257065,1439,10.9756578858679,50,11.171734508840593
187_50_HZ,-0.07283516973257065,1435,10.9451487604034,50,11.199281621951524
188_50_HZ,-0.13240401446819305,1417,19.6471526059575,50,11.321467664608464
189_50_HZ,-0.13240401446819305,1397,19.3698462883011,50,11.453821513974493
190_50_HZ,-0.24180632829666138,1396,35.3493724732894,50,11.460345026409492
191_50_HZ,-0.24180632829666138,1396,35.3493724732894,50,11.460345026409492
192_50_HZ,-0.3609919250011444,1392,52.6217573466043,50,11.486349380879684
193_50_HZ,-0.3609919250011444,1372,51.8656976146128,50,11.614218466755188
194_50_HZ,-0.5219213366508484,1355,74.0581688208923,50,11.72008627351383
195_50_HZ,-0.5219213366508484,1347,73.62092501973571,50,11.769009465172735
196_50_HZ,-0.763865053653717,1335,106.789005307664,50,11.841317909423363
197_50_HZ,-0.763865053653717,1327,106.149071193461,50,11.8888059767653
198_50_HZ,-1.014520287513733,1323,140.55594464678302,50,11.912334741788722
199_50_HZ,-1.014520287513733,1315,139.70602207900203,50,11.958961734540479
200_50_HZ,-1.3051056861877441,1323,180.814864892064,50,11.912334741788722
201_50_HZ,-1.3051056861877441,1327,181.361546267399,50,11.8888059767653
202_50_HZ,-1.5056627988815308,1330,209.704614618549,50,11.871065222964432
203_50_HZ,-1.5056627988815308,1329,209.546941975979,50,11.876987777091703
204_50_HZ,-1.49717116355896,1318,206.640517943597,50,11.94154388371093
205_50_HZ,-1.49717116355896,1318,206.640517943597,50,11.94154388371093
206_50_HZ,-1.513275146484375,1320,209.180132713267,50,11.92988713552299
207_50_HZ,-1.513275146484375,1308,207.278495143147,50,11.99928945303176
208_50_HZ,-1.6033031940460205,1300,218.26677812499202,50,12.044840102545793
209_50_HZ,-1.6033031940460205,1291,216.755700430281,50,12.095398414435026
210_50_HZ,-1.739087462425232,1280,233.109515320899,50,12.156205258776177
211_50_HZ,-1.739087462425232,1271,231.47046404129802,50,12.205149055808825
212_50_HZ,-1.990869402885437,1273,265.399312167649,50,12.194335443157104
213_50_HZ,-1.990869402885437,1272,265.190828811665,50,12.199746734246455
214_50_HZ,-2.1491332054138184,1266,284.921777654209,50,12.232026120715958
215_50_HZ,-2.1491332054138184,1262,284.021550868571,50,12.253366321156006
216_50_HZ,-2.1798295974731445,1265,288.763088884119,50,12.237374625116443
217_50_HZ,-2.1798295974731445,1269,289.676173750155,50,12.215926790352622
218_50_HZ,-2.2364132404327393,1266,296.492944932478,50,12.232026120715958
219_50_HZ,-2.2364132404327393,1267,296.727141571445,50,12.226668646788493
220_50_HZ,-2.2927494049072266,1261,302.7612591272,50,12.258678947448567
221_50_HZ,-2.2927494049072266,1250,300.120201355273,50,12.316525847885972
222_50_HZ,-2.3602705001831055,1238,305.99268927191497,50,12.378393762730667
223_50_HZ,-2.3602705001831055,1231,304.262520592672,50,12.413886906179167
224_50_HZ,-2.505260944366455,1224,321.11677899430504,50,12.448940542805595
225_50_HZ,-2.505260944366455,1202,315.345072182316,50,12.55624783595313
226_50_HZ,-2.7474520206451416,1185,340.93931144263104,50,12.636193709736556
227_50_HZ,-2.7474520206451416,1179,339.213036447985,50,12.663791003121956
228_50_HZ,-3.054278612136841,1169,373.896830591663,50,12.709068929939138
229_50_HZ,-3.054278612136841,1165,372.61745734755095,50,12.72692895391054
230_50_HZ,-3.242386817932129,1167,396.245466465103,50,12.718016880978801
231_50_HZ,-3.242386817932129,1179,400.31996997631296,50,12.663791003121956
232_50_HZ,-3.329639434814453,1190,414.92803857148095,50,12.612949303256745
233_50_HZ,-3.329639434814453,1190,414.92803857148095,50,12.612949303256745
234_50_HZ,-3.2457945346832275,1188,403.799784391232,50,12.622273974429612
235_50_HZ,-3.2457945346832275,1177,400.060897498721,50,12.67291834470124
236_50_HZ,-3.0784895420074463,1169,376.860661290966,50,12.709068929939138
237_50_HZ,-3.0784895420074463,1169,376.860661290966,50,12.709068929939138
238_50_HZ,-3.2495594024658203,1156,393.378787944897,50,12.766589290517809
239_50_HZ,-3.2495594024658203,1142,388.614684976706,50,12.826839053618498
240_50_HZ,-3.4987306594848633,1137,416.58113646935203,50,12.847930773622858
241_50_HZ,-3.4987306594848633,1130,414.016432902698,50,12.87708246149576
242_50_HZ,-3.670212984085083,1126,432.771111558425,50,12.89354323925812
243_50_HZ,-3.670212984085083,1125,432.386767764856,50,12.897636009881257
244_50_HZ,-3.7540576457977295,1125,442.264510314316,50,12.897636009881257
245_50_HZ,-3.7540576457977295,1123,441.47826229597996,50,12.90579464254659
246_50_HZ,-3.7510898113250732,1125,441.914855710795,50,12.897636009881257
247_50_HZ,-3.7510898113250732,1126,442.307668915871,50,12.89354323925812
248_50_HZ,-3.737431764602661,1127,441.08856288745403,50,12.889441499108003
249_50_HZ,-3.737431764602661,1127,441.08856288745403,50,12.889441499108003
250_50_HZ,-3.785496234893799,1133,449.139588919864,50,12.864642698140688
251_50_HZ,-3.785496234893799,1137,450.725253841028,50,12.847930773622858
252_50_HZ,-3.796818256378174,1144,454.856562555685,50,12.818339578927885
253_50_HZ,-3.796818256378174,1137,452.073349323264,50,12.847930773622858
254_50_HZ,-3.7612853050231934,1121,441.540460525987,50,12.913917397103997
255_50_HZ,-3.7612853050231934,1088,428.54239166126104,50,13.042762945469676
256_50_HZ,-3.791212320327759,1053,418.05660119518603,50,13.168743577840981
257_50_HZ,-3.791212320327759,1031,409.32227524429,50,13.242307510485832
258_50_HZ,-4.272461414337158,1020,456.35934638564504,50,13.277461507661197
259_50_HZ,-4.272461414337158,1029,460.386046500813,50,13.248779872078726
260_50_HZ,-4.718672275543213,1047,517.362713083756,50,13.189237005857393
